"Slug","Company","Logo","Logo:alt","Category","Image","Image:alt","Founders","Year","Stage","Location","Description","Link Text","Link","Color"
"aurora","Aurora","https://framerusercontent.com/images/PrSGvwLO0tHXY6EY4gs79Fe6HQ.svg","","Crypto","https://framerusercontent.com/images/I0JLD4ZrkQ2m8SgO1b7ObGpY0Y.jpg","","Alex Lee","2018","Series A","San Francisco, CA","Aurora provides advanced security solutions for blockchain-based applications.","aurora.com","flowit.supply","rgb(251, 194, 213)"
"luminary","Luminary","https://framerusercontent.com/images/KgtAGtRTufv55T47HQMdiGABrc.svg","","Crypto","https://framerusercontent.com/images/ZYX74OGfgMItW1hW5UEHBon9ic.jpg","","Rachel Kim","2018","Seed","New York, NY","Luminary is a decentralized lending platform for cryptocurrencies.","seed.com","flowit.supply","rgb(251, 194, 213)"
"spectra","Spectra","https://framerusercontent.com/images/MaMKLf0stiRX6lUXJGVg7hc8GQ.svg","","Crypto","https://framerusercontent.com/images/iBcKyLPsRLhWcunY2M4UoAqGU.jpg","","Michael Brown","2021","Series B","London, UK","Spectra offers advanced analytics for cryptocurrency traders.","Spectra.com","flowit.supply","rgb(251, 194, 213)"
"nova-terra","Nova Terra","https://framerusercontent.com/images/7sdsCmVeHgQhbkDEgnSLTRPSts.svg","","Crypto","https://framerusercontent.com/images/pY4ShkQbP5hHBA0R47iSDyJY4.jpg","","David White","2024","Pre-Seed","Berlin, Germany","Nova Terra develops blockchain-based identity verification solutions.","Novaterra.com","flowit.supply","rgb(251, 194, 213)"
"apexion","Apexion","https://framerusercontent.com/images/NXhk88b8iOn638CFd6tFo00tQ.svg","","Technology","https://framerusercontent.com/images/UsUSF8fVDcDg541n4L2rJAhIxNY.jpg","","Mark Davis","2020","Series A","Palo Alto, CA","Nubank is challenging the status quo to create a new generation of financial services in Latin America.","Apexion.com","flowit.supply","rgb(142, 132, 247)"
"nexus","Nexus","https://framerusercontent.com/images/E9yjc6twTHgT29S1YaPojVb7p8.svg","","Technology","https://framerusercontent.com/images/Rf6AGJdqHXAyTMdqgeIEMydTW4.jpg","","Samantha Lee","2023","Seed","Boston, MA","Nexus creates innovative IoT solutions.","Nexus.com","flowit.supply","rgb(142, 132, 247)"
"paragon","Paragon","https://framerusercontent.com/images/eNE4yl81pqH1MYfJmvrkEr6qQIc.svg","","Technology","https://framerusercontent.com/images/fu0WpvUQeo9bIxbvpjwGPywBztE.jpg","","James Reed","2019","Series B","Tel Aviv, Israel","Paragon provides cutting-edge cybersecurity solutions. Founder: James Reed","Paragon.com","flowit.supply","rgb(142, 132, 247)"
"echo-pixel","Echo Pixel","https://framerusercontent.com/images/J45SSoC0JWRTFdhWPtKVKQJSYM.svg","","Technology","https://framerusercontent.com/images/nTrLCKTqEmI6PuBKQVd1c3s2ow.jpg","","Emily Chen","2024","Pre-Seed","Los Angeles, CA","Echo Pixel develops immersive AR experiences.","Echopixel.com","flowit.supply","rgb(142, 132, 247)"
"medify","Medify ","https://framerusercontent.com/images/o1uwcdsdeMENOeMrzUaeDZsi4.svg","","Healthcare","https://framerusercontent.com/images/QPbxJzSomgVjzBqsCDWlXDen47g.jpg","","Dr. Lisa Nguyen","2021","Series A","San Francisco, CA","Medify offers a telemedicine platform.","Medify.com","flowit.supply","rgb(254, 212, 92)"
"vitalis","Vitalis","https://framerusercontent.com/images/ZqpqGN9yNO7oBAtX47EYanCjdW8.svg","","Healthcare","https://framerusercontent.com/images/FgA1lEYmTjFwXZKDZbC2INNrVg.jpg","","Kevin Thompson","2018","Series B","Boston, MA","Vitalis develops personalized medicine solutions.","Vitalis.com","flowit.supply","rgb(254, 212, 92)"
"healix","Healix","https://framerusercontent.com/images/Pxpkyiki4lUbYoOJO0Lxt8civmo.svg","","Healthcare","https://framerusercontent.com/images/EAfzjUmTenmtXJuhNEUOCMwps.jpg","","Sophia Patel","2022","Seed","Chicago, IL","Healix creates innovative medical devices.","Healix.com","flowit.supply","rgb(254, 212, 92)"
"mindsight","MindSight","https://framerusercontent.com/images/gVSZqHdmoxoE6yxBzfseAyqm18M.svg","","Healthcare","https://framerusercontent.com/images/vfgjW4nVsFod5cia6TNkKg15zOE.jpg","","Rachel Kim","2024","Pre-Seed","New York, NY","AI-powered mental health solutions.","MindSight.com","flowit.supply","rgb(254, 212, 92)"
"prospera","Prospera","https://framerusercontent.com/images/YGxUjYBwXZLXIfUZxCfokIc92Pk.svg","","Finance","https://framerusercontent.com/images/gtxhO5eQb8zTp6csYDNAsGA9k.jpg","","Daniel Lee","2020","Series A","San Francisco, CA","Prospera offers a digital platform for personal finance management.","Prospera.com","flowit.supply","rgb(196, 227, 230)"
"finaura","Finaura","https://framerusercontent.com/images/veK2JAOjmzwCRHDofEnkmrWBs.svg","","Finance","https://framerusercontent.com/images/XZQ7zWxpoNydLctOGz4Znk.jpg","","Michael Kim","2017","Series B","New York, NY","Finaura develops AI-powered investment solutions.","Finaura.com","flowit.supply","rgb(196, 227, 230)"
"securepay","SecurePay","https://framerusercontent.com/images/VRm0KkmwBw1KbnHs0qOm0N30Rs.svg","","Finance","https://framerusercontent.com/images/Yai4c7dwDq5YCJkgrTAlEEOjk0.jpg","","David Hall","2020","Seed","London, UK","SecurePay provides secure payment processing solutions.","SecurePay.com","flowit.supply","rgb(196, 227, 230)"
"wealthforge","WealthForge","https://framerusercontent.com/images/Hj7ReZmC7cGVkWCvHa2tpNE0Co0.svg","","Finance","https://framerusercontent.com/images/0KH5UuIJHGUclkImAuBW1STq1gI.jpg","","Emily Wong","2024","Pre-Seed","Toronto, Canada","WealthForge offers a robo-advisory platform.","WealthForge.com","flowit.supply","rgb(196, 227, 230)"